,produto,preco-antigo,preco-atual,link
34,Kit 5 Camisetas Manga Longa Swag - Tecido Dura Line®,R$ 169,R$ 14365,https://produto.mercadolivre.com.br/MLB-1179329663-kit-5-camisetas-manga-longa-swag-tecido-dura-line-_JM?hide_psmb=true#reco_item_pos=34&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
35,"Camera Gopro Hero9 Black, 5k,à Prova D'agua, Nova C/garantia",R$ 3.148,R$ 2.999,https://produto.mercadolivre.com.br/MLB-1821825232-camera-gopro-hero9-black-5k-prova-dagua-nova-cgarantia-_JM?variation=78625122164&hide_psmb=true#reco_item_pos=35&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
36,Cerveja Patagonia Amber Lager Garrafa 740ml,R$ 15,R$ 799,https://produto.mercadolivre.com.br/MLB-1881360450-cerveja-patagonia-amber-lager-garrafa-740ml-_JM?hide_psmb=true#reco_item_pos=36&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
37,Aquecedor De Parede Digital Oster Com Controle Remoto,R$ 449,R$ 42655,https://produto.mercadolivre.com.br/MLB-1848218020-aquecedor-de-parede-digital-oster-com-controle-remoto-_JM?hide_psmb=true#reco_item_pos=37&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
38,Papel Sulfite Report Premium A4 75g 500 Folhas,R$ 25,R$ 2150,https://produto.mercadolivre.com.br/MLB-1758030179-papel-sulfite-report-premium-a4-75g-500-folhas-_JM?variation=72436032704&hide_psmb=true#reco_item_pos=38&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
39,Kit 5 Spot Led Embutir Direcionável Luminaria Cozinha Quarto,R$ 49,R$ 4508,https://produto.mercadolivre.com.br/MLB-1827178033-kit-5-spot-led-embutir-direcionavel-luminaria-cozinha-quarto-_JM?hide_psmb=true#reco_item_pos=39&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
40,4 Calças Jeans Feminina Cintura Alta Com Lycla Melhor Preço,R$ 179,R$ 16191,https://produto.mercadolivre.com.br/MLB-1351093737-4-calcas-jeans-feminina-cintura-alta-com-lycla-melhor-preco-_JM?hide_psmb=true#reco_item_pos=40&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
41,Nebulizador Sem Fio De Rede Glenmark Nebzmart Branco,R$ 225,R$ 173,https://produto.mercadolivre.com.br/MLB-1474552654-nebulizador-sem-fio-de-rede-glenmark-nebzmart-branco-_JM?hide_psmb=true#reco_item_pos=41&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=BUY_BOX_WINNER
42,Cerveja Lagunitas Ipa Garrafa 355ml,R$ 9,R$ 699,https://produto.mercadolivre.com.br/MLB-1881359370-cerveja-lagunitas-ipa-garrafa-355ml-_JM?hide_psmb=true#reco_item_pos=42&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
43,Kit Bota Adventure Caterpillar +chinelo Carteira Cinto Brind,R$ 149,R$ 12741,https://produto.mercadolivre.com.br/MLB-1794520623-kit-bota-adventure-caterpillar-chinelo-carteira-cinto-brind-_JM?hide_psmb=true#reco_item_pos=43&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
44,Jogo Panelas Tramontina 12 Peças Antiaderente Alumínio,R$ 379,R$ 309,https://produto.mercadolivre.com.br/MLB-1194229288-jogo-panelas-tramontina-12-pecas-antiaderente-aluminio-_JM?variation=38700987037&hide_psmb=true#reco_item_pos=44&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
45,Azeite De Oliva Extra Virgem Clássico Português Gallo 500ml,R$ 22,R$ 2024,https://produto.mercadolivre.com.br/MLB-1885101242-azeite-de-oliva-extra-virgem-classico-portugus-gallo-500ml-_JM?hide_psmb=true#reco_item_pos=45&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
46,Fidget Toys Hand Spinner Anti Stress Pop It Bolha Colorido,R$ 42,R$ 3774,https://produto.mercadolivre.com.br/MLB-1919567042-fidget-toys-hand-spinner-anti-stress-pop-it-bolha-colorido-_JM?variation=89421636191&hide_psmb=true#reco_item_pos=46&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
